"human_name","human_ID","mouse_ID","drosophila_ID","baboon_ID","rat_ID","zebrafish_ID","anopheles_ID","aedes_ID","cflo_ID"
"ammonium transporter Rh type B isoform c, ammonium transporter Rh type B isoform a precursor, ammonium transporter Rh type B isoform X1, ammonium transporter Rh type B isoform X2","RHBG","ENSMUSG00000038374","FBgn0033378","ENSPANG00000023634","ENSRNOG00000047737","ENSDARG00000096596",NA,"AAEL012327","LOC105248600"
"T-complex protein 1 subunit gamma isoform a","CCT3","ENSMUSG00000028102","FBgn0034058","ENSPANG00000023633",NA,"ENSDARG00000103819",NA,"AAEL013898","LOC105248364"
NA,"SMG5","ENSMUSG00000028099","FBgn0038057","ENSPANG00000018527",NA,"ENSDARG00000098970","AGAP008246","AAEL013897",NA
"solute carrier family 25 member 44 isoform 1, solute carrier family 25 member 44 isoform 2, solute carrier family 25 member 44 isoform X1, solute carrier family 25 member 44 isoform X2","SLC25A44","ENSMUSG00000028098","FBgn0037653","ENSPANG00000016588","ENSRNOG00000005840","ENSDARG00000101720","AGAP012477","AAEL007881","LOC105249958"
"lamin isoform C, lamin isoform A-delta50, lamin isoform A, lamin isoform A-delta10","LMNA","ENSMUSG00000028096","FBgn0033995","ENSPANG00000010493","ENSRNOG00000006641","ENSDARG00000105508","AGAP005149","AAEL014714","LOC105256568"
"lamin isoform C, lamin isoform A-delta50, lamin isoform A, lamin isoform A-delta10","LMNA","ENSMUSG00000038205","FBgn0260972","ENSPANG00000016390","ENSRNOG00000006916","ENSDARG00000105459","AGAP011498","AAEL004841","LOC105256568"
"ragulator complex protein LAMTOR2 isoform 1","LAMTOR2","ENSMUSG00000038170","FBgn0038535","ENSPANG00000010494","ENSRNOG00000007422","ENSDARG00000105374","AGAP011498","AAEL014813","LOC105253561"
NA,"UBQLN4","ENSMUSG00000027879","FBgn0260855","ENSPANG00000017587","ENSRNOG00000008212","ENSDARG00000105418","AGAP010558","AAEL009241",NA
"translocon-associated protein subunit beta precursor","SSR2","ENSMUSG00000027878","FBgn0004647","ENSPANG00000011501","ENSRNOG00000009446","ENSDARG00000105345","AGAP004626","AAEL007713","LOC105256972"
"GTP-binding protein Rit1 isoform 1, GTP-binding protein Rit1 isoform 2","RIT1","ENSMUSG00000027875","FBgn0010611","ENSPANG00000019366","ENSRNOG00000010164","ENSDARG00000105484","AGAP010750","AAEL006698","LOC105255760"
"protein misato homolog 1 isoform b, protein misato homolog 1 isoform c, protein misato homolog 1 isoform 4, protein misato homolog 1 isoform a","MSTO1","ENSMUSG00000090817","FBgn0036698","ENSPANG00000005550","ENSRNOG00000010219","ENSDARG00000105359","AGAP004028","AAEL014093","LOC105255004"
"28S ribosomal protein S29, mitochondrial isoform 1, 28S ribosomal protein S29, mitochondrial isoform 3, 28S ribosomal protein S29, mitochondrial isoform X4, 28S ribosomal protein S29, mitochondrial isoform X1","DAP3","ENSMUSG00000095143","FBgn0036698","ENSPANG00000024577","ENSRNOG00000010981","ENSDARG00000091770",NA,"AAEL009629","LOC105248989"
"farnesyl pyrophosphate synthase isoform a, farnesyl pyrophosphate synthase isoform b","FDPS","ENSMUSG00000095388","FBgn0036698","ENSPANG00000014565","ENSRNOG00000011470","ENSDARG00000104087","AGAP012085","AAEL011391","LOC105258274"
"potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3","HCN3","ENSMUSG00000038092","FBgn0036698","ENSPANG00000021757","ENSRNOG00000013933","ENSDARG00000086709","AGAP011248",NA,"LOC105248445"
"dual specificity protein kinase CLK2 isoform 1, dual specificity protein kinase CLK2 isoform 4, dual specificity protein kinase CLK2 isoform 2, dual specificity protein kinase CLK2 isoform X1","CLK2","ENSMUSG00000063730","FBgn0036698","ENSPANG00000005768","ENSRNOG00000043189","ENSDARG00000091525","AGAP012368","AAEL013539","LOC105254017"
"lysosomal acid glucosylceramidase isoform 1 precursor, lysosomal acid glucosylceramidase isoform 2","GBA","ENSMUSG00000062410","FBgn0036698","ENSPANG00000007625","ENSRNOG00000026691","ENSDARG00000094154","AGAP008339","AAEL006236","LOC105257874, LOC105249005"
"lysosomal acid glucosylceramidase isoform 1 precursor, lysosomal acid glucosylceramidase isoform 2","GBA","ENSMUSG00000027869","FBgn0036698","ENSPANG00000025460","ENSRNOG00000014369","ENSDARG00000068941","AGAP006780",NA,"LOC105257874, LOC105249005"
"metaxin-1 isoform 1","MTX1","ENSMUSG00000027871","FBgn0036698","ENSPANG00000006940","ENSRNOG00000014369","ENSDARG00000097836",NA,NA,"LOC105251953"
"thrombospondin-3 isoform 2 precursor, thrombospondin-3 isoform 3 precursor, thrombospondin-3 isoform 1 precursor, thrombospondin-3 isoform X2, thrombospondin-3 isoform X1, thrombospondin-3 isoform X3, thrombospondin-3 isoform X4, thrombospondin-3 isoform X5, thrombospondin-3 isoform X7","THBS3","ENSMUSG00000033285","FBgn0038597","ENSPANG00000018609","ENSRNOG00000026636","ENSDARG00000097258",NA,"AAEL000307","LOC105250842"
"keratinocyte-associated protein 2","KRTCAP2","ENSMUSG00000027865","FBgn0042135","ENSPANG00000007023","ENSRNOG00000026604","ENSDARG00000104944","AGAP003825","AAEL000307","LOC105248629"
NA,"DPM3","ENSMUSG00000044468","FBgn0050497","ENSPANG00000026494","ENSRNOG00000015237","ENSDARG00000097020",NA,"AAEL000474",NA
"E3 ubiquitin-protein ligase DCST1 isoform 2, E3 ubiquitin-protein ligase DCST1 isoform 1","DCST1","ENSMUSG00000008763","FBgn0259170","ENSPANG00000024488","ENSRNOG00000015396","ENSDARG00000097785","AGAP000983",NA,"LOC105250959"
NA,"DCST2","ENSMUSG00000033161","FBgn0002921","ENSPANG00000015955","ENSRNOG00000034241","ENSDARG00000077587","AGAP005035","AAEL010008",NA
"cyclin-dependent kinases regulatory subunit 1","CKS1B","ENSMUSG00000027860","FBgn0015838","ENSPANG00000007629","ENSRNOG00000025892","ENSDARG00000070282","AGAP001760","AAEL012130","LOC105256398, LOC105249371"
"cyclin-dependent kinases regulatory subunit 1","CKS1B","ENSMUSG00000027858","FBgn0027865","ENSPANG00000018482","ENSRNOG00000025832","ENSDARG00000095340","AGAP012057","AAEL004571","LOC105256398, LOC105249371"
"SHC-transforming protein 1 isoform 3, SHC-transforming protein 1 isoform 4, SHC-transforming protein 1 isoform 2, SHC-transforming protein 1 isoform 1, SHC-transforming protein 1 isoform X2, SHC-transforming protein 1 isoform X3, SHC-transforming protein 1 isoform X8, SHC-transforming protein 1 isoform X9","SHC1","ENSMUSG00000068823","FBgn0263352","ENSPANG00000017649","ENSRNOG00000015970","ENSDARG00000051737",NA,"AAEL006457","LOC105252997"
"phosphomevalonate kinase isoform 1","PMVK","ENSMUSG00000027852","FBgn0003205","ENSPANG00000020095","ENSRNOG00000016033","ENSDARG00000070287","AGAP007766","AAEL006457","LOC105254648"
"phospholipid-transporting ATPase ID isoform c, phospholipid-transporting ATPase ID isoform d, phospholipid-transporting ATPase ID isoform e","ATP8B2","ENSMUSG00000005687","FBgn0039558","ENSPANG00000022237","ENSRNOG00000025711","ENSDARG00000096596","AGAP004593","AAEL000307","LOC105257906"
NA,"UBAP2L","ENSMUSG00000033014","FBgn0023097","ENSPANG00000020097","ENSRNOG00000016794","ENSDARG00000103819","AGAP002498","AAEL010607",NA
"tropomyosin alpha-3 chain isoform 10, tropomyosin alpha-3 chain isoform 12, tropomyosin alpha-3 chain isoform Tpm3.12st, tropomyosin alpha-3 chain isoform 13, tropomyosin alpha-3 chain isoform Tpm3.2cy, tropomyosin alpha-3 chain isoform Tpm3.7cy, tropomyosin alpha-3 chain isoform Tpm3.4cy, tropomyosin alpha-3 chain isoform Tpm3.5cy, tropomyosin alpha-3 chain isoform Tpm3.3cy, tropomyosin alpha-3 chain isoform 14","TPM3","ENSMUSG00000087119","FBgn0031298","ENSPANG00000024247","ENSRNOG00000025185","ENSDARG00000098970","AGAP001394","AAEL013115","LOC105247863"
NA,"NUP210L","ENSMUSG00000058388","FBgn0028579","ENSPANG00000009408","ENSRNOG00000017295","ENSDARG00000101720",NA,"AAEL003605",NA
NA,NA,"ENSMUSG00000032913","FBgn0034083","ENSPANG00000003184","ENSRNOG00000017513","ENSDARG00000105508","AGAP001491","AAEL003452",NA
"protein JTB precursor","JTB","ENSMUSG00000002228","FBgn0031194","ENSPANG00000006260","ENSRNOG00000018145","ENSDARG00000105459","AGAP010055",NA,"LOC105255709"
NA,"AL358472.7","ENSMUSG00000070372","FBgn0034577","ENSPANG00000009399","ENSRNOG00000018145","ENSDARG00000105374","AGAP000171","AAEL011584",NA
NA,"DENND4B","ENSMUSG00000045576","FBgn0037026","ENSPANG00000000545","ENSRNOG00000018457","ENSDARG00000105418","AGAP005158","AAEL001052",NA
"integrator complex subunit 3","INTS3","ENSMUSG00000040896","FBgn0005564",NA,"ENSRNOG00000024809","ENSDARG00000105345","AGAP008847","AAEL013161","LOC105258102"
"atrial natriuretic peptide receptor 1 precursor, atrial natriuretic peptide receptor 1 isoform X1","NPR1","ENSMUSG00000068798","FBgn0004636","ENSPANG00000018654","ENSRNOG00000006435","ENSDARG00000105484","AGAP000926","AAEL003454","LOC105256501"
"interleukin enhancer-binding factor 2 isoform 2, interleukin enhancer-binding factor 2 isoform 1","ILF2","ENSMUSG00000000563","FBgn0019644","ENSPANG00000017777","ENSRNOG00000006894","ENSDARG00000105359",NA,"AAEL003913","LOC105248453"
"SNARE-associated protein Snapin","SNAPIN","ENSMUSG00000000561","FBgn0003978","ENSPANG00000007014","ENSRNOG00000007532","ENSDARG00000091770","AGAP004606","AAEL012026","LOC105253553"
NA,NA,"ENSMUSG00000043873","FBgn0034580","ENSPANG00000000442","ENSRNOG00000007710","ENSDARG00000104087","AGAP001918","AAEL015512",NA
NA,"ADRM1","ENSMUSG00000043873","FBgn0022700","ENSPANG00000023571","ENSRNOG00000008258","ENSDARG00000086709","AGAP001918","AAEL004779",NA
NA,NA,"ENSMUSG00000043873","FBgn0034582","ENSPANG00000015098","ENSRNOG00000008761","ENSDARG00000091525","AGAP008811","AAEL014038",NA
NA,"RORC","ENSMUSG00000062778","FBgn0034580",NA,"ENSRNOG00000008761","ENSDARG00000094154","AGAP006613","AAEL007457",NA
NA,"TDRKH","ENSMUSG00000062778","FBgn0022700","ENSPANG00000023626",NA,"ENSDARG00000068941",NA,"AAEL004722",NA
"39S ribosomal protein L9, mitochondrial isoform 1","MRPL9","ENSMUSG00000062778","FBgn0034582","ENSPANG00000004080","ENSRNOG00000008837","ENSDARG00000097836","AGAP003584",NA,"LOC105252069"
"sorting nexin-27 isoform 1, sorting nexin-27 isoform 2, sorting nexin-27 isoform X2","SNX27","ENSMUSG00000040809","FBgn0034580","ENSPANG00000009025","ENSRNOG00000009245","ENSDARG00000097258","AGAP003584",NA,"LOC105254975"
"methanethiol oxidase isoform 3, methanethiol oxidase isoform 1","SELENBP1","ENSMUSG00000040809","FBgn0022700","ENSPANG00000015995","ENSRNOG00000059507","ENSDARG00000104944","AAV30068.1",NA,"LOC105259043"
"proteasome subunit beta type-4","PSMB4","ENSMUSG00000040809","FBgn0034582",NA,"ENSRNOG00000023393","ENSDARG00000097020","AAV30068.1","AAEL005041","LOC105256823"
"methanethiol oxidase isoform 3, methanethiol oxidase isoform 1","SELENBP1","ENSMUSG00000063779","FBgn0034580","ENSPANG00000021604","ENSRNOG00000010068","ENSDARG00000097785",NA,"AAEL002122","LOC105259043"
NA,"ZNF687","ENSMUSG00000063779","FBgn0022700","ENSPANG00000015745","ENSRNOG00000010477","ENSDARG00000077587","AGAP003142","AAEL010979",NA
"26S proteasome non-ATPase regulatory subunit 4 isoform 1, 26S proteasome non-ATPase regulatory subunit 4 isoform 2","PSMD4","ENSMUSG00000063779","FBgn0034582","ENSPANG00000022610","ENSRNOG00000011467","ENSDARG00000070282","AGAP001460","AAEL012552","LOC105250031"
"vacuolar protein sorting-associated protein 72 homolog isoform 1, vacuolar protein sorting-associated protein 72 homolog isoform 2","VPS72","ENSMUSG00000027902","FBgn0034580","ENSPANG00000025140","ENSRNOG00000011884","ENSDARG00000095340","AGAP001557","AAEL000951","LOC105248743"
NA,"TMOD4","ENSMUSG00000027902","FBgn0022700","ENSPANG00000009990","ENSRNOG00000033835","ENSDARG00000051737","AGAP010159","AAEL006778",NA
"exopolyphosphatase PRUNE1 isoform 1","PRUNE1","ENSMUSG00000027902","FBgn0034582","ENSPANG00000022693","ENSRNOG00000014050","ENSDARG00000070287","AGAP008598","AAEL009134","LOC105254909"
"alpha-endosulfine isoform 3, alpha-endosulfine isoform 4, alpha-endosulfine isoform 6, alpha-endosulfine isoform 7","ENSA","ENSMUSG00000040774","FBgn0033844","ENSPANG00000022346","ENSRNOG00000014338","ENSDARG00000096596","AGAP005012","AAEL004118","LOC105258958"
"ADAMTS-like protein 4 isoform 4 precursor, ADAMTS-like protein 4 isoform 1 precursor, ADAMTS-like protein 4 isoform X1, ADAMTS-like protein 4 isoform X2, ADAMTS-like protein 4 isoform X3","ADAMTSL4","ENSMUSG00000040724","FBgn0003380","ENSPANG00000008439","ENSRNOG00000050834","ENSDARG00000103819","AGAP005013","AAEL004096","LOC105255339"
"U4/U6 small nuclear ribonucleoprotein Prp3 isoform 1","PRPF3","ENSMUSG00000048109","FBgn0027548","ENSPANG00000004248","ENSRNOG00000049056","ENSDARG00000098970","AGAP012568","AAEL000746","LOC105250432"
"28S ribosomal protein S21, mitochondrial","MRPS21","ENSMUSG00000027895","FBgn0003386","ENSPANG00000025697","ENSRNOG00000050780","ENSDARG00000101720","AGAP004295","AAEL011274","LOC109610304"
"gamma-secretase subunit APH-1A isoform 1, gamma-secretase subunit APH-1A isoform 2","APH1A","ENSMUSG00000014603","FBgn0000606","ENSPANG00000011151","ENSRNOG00000022586","ENSDARG00000105508","AGAP002644","AAEL012212","LOC105255556"
"vacuolar protein sorting-associated protein 45 isoform 1","VPS45","ENSMUSG00000014601","FBgn0035437","ENSPANG00000024034","ENSRNOG00000054560","ENSDARG00000105459","AGAP009001","AAEL010505","LOC105251952"
NA,"SF3B4","ENSMUSG00000027893","FBgn0035371","ENSPANG00000016963","ENSRNOG00000022514","ENSDARG00000105374","AGAP011508","AAEL007439",NA
"bolA-like protein 1 precursor, bolA-like protein 1 isoform X1","BOLA1","ENSMUSG00000027889","FBgn0052626","ENSPANG00000007619","ENSRNOG00000039315","ENSDARG00000105418","AGAP001519","AAEL004319","LOC105250680"
NA,"HIST2H2AC","ENSMUSG00000000001","FBgn0001104","ENSPANG00000021506","ENSRNOG00000015420","ENSDARG00000105345","AGAP000444","AAEL005130",NA
NA,"HIST2H2AC","ENSMUSG00000068749","FBgn0016697","ENSPANG00000000624","ENSRNOG00000016220","ENSDARG00000105484",NA,"AAEL004968",NA
NA,"HIST2H2AC","ENSMUSG00000068740","FBgn0024836",NA,"ENSRNOG00000029115","ENSDARG00000105359","AGAP003687","AAEL012825",NA
NA,"HIST2H2AC","ENSMUSG00000068739","FBgn0031497","ENSPANG00000019060","ENSRNOG00000028993","ENSDARG00000091770","AGAP011634","AAEL003684",NA
NA,"HIST2H2AC","ENSMUSG00000048100","FBgn0032847","ENSPANG00000001328","ENSRNOG00000022274","ENSDARG00000104087","AGAP005710","AAEL013272",NA
NA,"HIST2H2AC","ENSMUSG00000027883","FBgn0040080","ENSPANG00000015053","ENSRNOG00000022274","ENSDARG00000086709","AGAP004091","AAEL001904",NA
NA,"HIST2H2AC","ENSMUSG00000045662","FBgn0033686",NA,"ENSRNOG00000016910","ENSDARG00000091525",NA,"AAEL008147",NA
NA,"HIST2H2AC","ENSMUSG00000040339","FBgn0032938","ENSPANG00000014012","ENSRNOG00000022162","ENSDARG00000094154","AGAP000374","AAEL014159",NA
NA,"HIST2H2AC","ENSMUSG00000033721","FBgn0040068","ENSPANG00000014343","ENSRNOG00000017583","ENSDARG00000068941","AGAP007934","AAEL003412",NA
NA,"HIST2H2AC","ENSMUSG00000049300","FBgn0032329","ENSPANG00000019798","ENSRNOG00000017925","ENSDARG00000097836","AGAP009539","AAEL006867",NA
NA,"HIST2H2AC","ENSMUSG00000074268","FBgn0000079","ENSPANG00000007771","ENSRNOG00000018294","ENSDARG00000097258","AGAP004251","AAEL011123",NA
NA,"HIST2H2AC","ENSMUSG00000074268","FBgn0000078","ENSPANG00000011845","ENSRNOG00000018809","ENSDARG00000104944","AGAP005523","AAEL000600",NA
NA,"HIST2H2AC","ENSMUSG00000096770","FBgn0000079","ENSPANG00000009753",NA,"ENSDARG00000097020","AGAP002063","AAEL009931",NA
NA,"HIST2H2AC","ENSMUSG00000096770","FBgn0000078","ENSPANG00000009506",NA,"ENSDARG00000097785","AGAP007786","AAEL014531",NA
NA,"HIST2H2AC","ENSMUSG00000093931","FBgn0000079","ENSPANG00000010631","ENSRNOG00000018901","ENSDARG00000077587","AGAP000529","AAEL008134",NA
NA,"HIST2H2AC","ENSMUSG00000093931","FBgn0000078","ENSPANG00000003098","ENSRNOG00000018991","ENSDARG00000070282","AGAP004481","AAEL009105",NA
NA,"HIST2H2AC","ENSMUSG00000096569","FBgn0000079","ENSPANG00000015039","ENSRNOG00000019147","ENSDARG00000095340",NA,"AAEL004580",NA
NA,"HIST2H2AC","ENSMUSG00000096569","FBgn0000078","ENSPANG00000009518","ENSRNOG00000019147","ENSDARG00000051737","AGAP008374","AAEL004582",NA
NA,"HIST2H2AC","ENSMUSG00000074264","FBgn0000079","ENSPANG00000009518","ENSRNOG00000005668","ENSDARG00000070287","AGAP003506","AAEL004575",NA
NA,"HIST2H2AC","ENSMUSG00000074264","FBgn0000078","ENSPANG00000003085","ENSRNOG00000006763","ENSDARG00000096596","AGAP002524",NA,NA
NA,NA,"ENSMUSG00000033554","FBgn0024558","ENSPANG00000008106","ENSRNOG00000025997","ENSDARG00000103819",NA,"AAEL011912",NA
NA,NA,"ENSMUSG00000054414","FBgn0037875","ENSPANG00000000102","ENSRNOG00000008484","ENSDARG00000098970",NA,NA,NA
NA,NA,"ENSMUSG00000000339","FBgn0025630","ENSPANG00000000103","ENSRNOG00000009340","ENSDARG00000101720","AGAP011715",NA,NA
NA,NA,"ENSMUSG00000000340","FBgn0030612","ENSPANG00000005035","ENSRNOG00000009402","ENSDARG00000105508","AAM97678.1","AAEL010569",NA
NA,NA,"ENSMUSG00000033439","FBgn0037435","ENSPANG00000007768","ENSRNOG00000011732","ENSDARG00000105459","AGAP010220",NA,NA
NA,NA,"ENSMUSG00000027959","FBgn0039731",NA,"ENSRNOG00000014272","ENSDARG00000105374","AGAP007175","AAEL014152",NA
NA,NA,"ENSMUSG00000089911","FBgn0035400","ENSPANG00000026035","ENSRNOG00000014317","ENSDARG00000105418","AGAP009904","AAEL001269",NA
NA,NA,"ENSMUSG00000033400","FBgn0034618","ENSPANG00000022658","ENSRNOG00000014493","ENSDARG00000105345","AGAP002054","AAEL008301",NA
NA,NA,"ENSMUSG00000033386","FBgn0034067","ENSPANG00000011933","ENSRNOG00000025278","ENSDARG00000105484",NA,"AAEL004613",NA
NA,NA,"ENSMUSG00000033308","FBgn0086450",NA,"ENSRNOG00000015145","ENSDARG00000105359","AGAP010885","AAEL010991",NA
NA,NA,"ENSMUSG00000028134","FBgn0011224","ENSPANG00000008221","ENSRNOG00000031038","ENSDARG00000091770","AGAP009115","AAEL008706",NA
NA,NA,"ENSMUSG00000039887","FBgn0030645","ENSPANG00000007689","ENSRNOG00000005334","ENSDARG00000104087","AGAP001936","AAEL001212",NA
NA,NA,"ENSMUSG00000039865","FBgn0035523","ENSPANG00000008472","ENSRNOG00000005021","ENSDARG00000086709","AGAP001394","AAEL008175",NA
NA,NA,"ENSMUSG00000028127","FBgn0031069","ENSPANG00000007236","ENSRNOG00000004680","ENSDARG00000091525",NA,"AAEL007187",NA
NA,NA,"ENSMUSG00000028125","FBgn0036747","ENSPANG00000008383","ENSRNOG00000006839","ENSDARG00000094154","AGAP004154","AAEL004720",NA
NA,NA,"ENSMUSG00000028125","FBgn0031170","ENSPANG00000023701","ENSRNOG00000007666","ENSDARG00000068941","AGAP004234","AAEL002700",NA
NA,NA,"ENSMUSG00000028124","FBgn0046114","ENSPANG00000007773","ENSRNOG00000055567","ENSDARG00000097836","AGAP007941",NA,NA
NA,NA,"ENSMUSG00000028121","FBgn0031762","ENSPANG00000003355","ENSRNOG00000004864","ENSDARG00000097258","AGAP003294",NA,NA
NA,NA,"ENSMUSG00000039735","FBgn0035533","ENSPANG00000008894","ENSRNOG00000005335","ENSDARG00000104944","AGAP010842",NA,NA
NA,NA,"ENSMUSG00000053965","FBgn0085370","ENSPANG00000006867","ENSRNOG00000033824","ENSDARG00000097020","AGAP002176",NA,NA
NA,NA,"ENSMUSG00000039234","FBgn0262126",NA,"ENSRNOG00000005341","ENSDARG00000097785","AGAP012056","AAEL005387",NA
NA,NA,"ENSMUSG00000028114","FBgn0032016","ENSPANG00000020225","ENSRNOG00000005341","ENSDARG00000077587","AGAP004487","AAEL002924",NA
NA,NA,"ENSMUSG00000027977","FBgn0020251","ENSPANG00000014852","ENSRNOG00000061129","ENSDARG00000070282",NA,"AAEL002906",NA
NA,"HIST2H2AA4","ENSMUSG00000044528","FBgn0040340","ENSPANG00000020225","ENSRNOG00000005307","ENSDARG00000095340","AGAP011973","AAEL012796",NA
NA,"HIST2H2AA3","ENSMUSG00000032854","FBgn0050438","ENSPANG00000014852","ENSRNOG00000030763","ENSDARG00000051737","AGAP001759","AAEL003437",NA
NA,"HIST2H2AA4","ENSMUSG00000053819","FBgn0264607","ENSPANG00000010436","ENSRNOG00000005679","ENSDARG00000070287","AGAP001371","AAEL000635",NA
NA,"HIST2H2AA3","ENSMUSG00000032826","FBgn0261788","ENSPANG00000003124","ENSRNOG00000004966","ENSDARG00000096596",NA,NA,NA
NA,"HIST2H2AA4","ENSMUSG00000027968","FBgn0260771","ENSPANG00000018846","ENSRNOG00000005007","ENSDARG00000103819",NA,"AAEL005796",NA
NA,"HIST2H2AA3","ENSMUSG00000028024","FBgn0038135","ENSPANG00000015024","ENSRNOG00000053122","ENSDARG00000098970","AGAP001878","AAEL006006",NA
NA,"HIST2H2AA4","ENSMUSG00000028024","FBgn0038136","ENSPANG00000020693","ENSRNOG00000006639","ENSDARG00000101720","AGAP001879",NA,NA
NA,"HIST2H2AA3","ENSMUSG00000041220","FBgn0260960","ENSPANG00000023120","ENSRNOG00000007625","ENSDARG00000105508",NA,"AAEL002727",NA
NA,"HIST2H2AA4","ENSMUSG00000028010","FBgn0011824","ENSPANG00000017640","ENSRNOG00000024808","ENSDARG00000105459",NA,"AAEL001816",NA
NA,"HIST2H2AA3","ENSMUSG00000058897","FBgn0259244","ENSPANG00000022798","ENSRNOG00000024595","ENSDARG00000105374","AGAP004143","AAEL001822",NA
NA,"HIST2H2AA4","ENSMUSG00000019232","FBgn0036381","ENSPANG00000000597",NA,"ENSDARG00000105418","AGAP004090","AAEL010381",NA
NA,"HIST2H2AA3","ENSMUSG00000041084","FBgn0031529","ENSPANG00000015136","ENSRNOG00000007127","ENSDARG00000105345","AGAP008234","AAEL010390",NA
NA,"HIST2H2AA4","ENSMUSG00000062006","FBgn0037686","ENSPANG00000019545","ENSRNOG00000007979","ENSDARG00000105484","AGAP003192","AAEL003102",NA
NA,"HIST2H2AA3","ENSMUSG00000062006","FBgn0039406","ENSPANG00000022227","ENSRNOG00000008469","ENSDARG00000105359",NA,"AAEL003099",NA
NA,"HIST2H2AA4","ENSMUSG00000028032","FBgn0020389","ENSPANG00000019578","ENSRNOG00000008616","ENSDARG00000091770",NA,"AAEL010381",NA
NA,"HIST2H2AA3","ENSMUSG00000028029","FBgn0033351","ENSPANG00000006400","ENSRNOG00000054086","ENSDARG00000104087","AGAP009265","AAEL010390",NA
NA,"HIST2H2AA4","ENSMUSG00000028030","FBgn0029736","ENSPANG00000007203","ENSRNOG00000000007","ENSDARG00000086709","AGAP007939","AAEL003102",NA
NA,"HIST2H2AA3","ENSMUSG00000028018","FBgn0032724","ENSPANG00000020091","ENSRNOG00000009781","ENSDARG00000091525","AGAP012189","AAEL003099",NA
NA,"HIST2H2AA4","ENSMUSG00000028016","FBgn0039459","ENSPANG00000019359","ENSRNOG00000009781","ENSDARG00000094154","AGAP010835","AAEL010386",NA
NA,"HIST2H2AA3","ENSMUSG00000028172","FBgn0035610","ENSPANG00000008265","ENSRNOG00000009781","ENSDARG00000068941",NA,NA,NA
NA,"HIST2H2AA4","ENSMUSG00000045328","FBgn0040232","ENSPANG00000015853","ENSRNOG00000009781","ENSDARG00000097836","AGAP005122","AAEL001816",NA
NA,"HIST2H2AA3","ENSMUSG00000028165","FBgn0062442","ENSPANG00000005245","ENSRNOG00000022922","ENSDARG00000097258","AAT07307.1","AAEL001822",NA
NA,"HIST2H2AA4","ENSMUSG00000078578","FBgn0011217","ENSPANG00000023062","ENSRNOG00000001524","ENSDARG00000104944","AGAP007418","AAEL010381",NA
NA,"HIST2H2AA3","ENSMUSG00000028164","FBgn0037215","ENSPANG00000000775","ENSRNOG00000061587","ENSDARG00000097020",NA,"AAEL010390",NA
NA,"HIST2H2AA4","ENSMUSG00000028161","FBgn0011826","ENSPANG00000021955","ENSRNOG00000001518","ENSDARG00000097785","AGAP000181","AAEL003102",NA
NA,"HIST2H2AA3","ENSMUSG00000028161","FBgn0030758",NA,"ENSRNOG00000001517","ENSDARG00000077587",NA,"AAEL003099",NA
NA,"HIST2H2AA4","ENSMUSG00000037894","FBgn0001197","ENSPANG00000017895","ENSRNOG00000001516","ENSDARG00000070282","AGAP005569","AAEL010381",NA
NA,"HIST2H2AA3","ENSMUSG00000074212","FBgn0038195","ENSPANG00000017895","ENSRNOG00000019047","ENSDARG00000095340","AGAP008312","AAEL010390",NA
NA,"HIST2H2AA4","ENSMUSG00000091512","FBgn0032642","ENSPANG00000024244","ENSRNOG00000018719","ENSDARG00000051737","AGAP008838","AAEL003102",NA
NA,"HIST2H2AA3","ENSMUSG00000028158","FBgn0266369","ENSPANG00000016917","ENSRNOG00000018485","ENSDARG00000070287","AGAP003344","AAEL003099",NA
NA,"HIST2H2AA4","ENSMUSG00000004127","FBgn0031189",NA,"ENSRNOG00000001593","ENSDARG00000096596","AGAP008727","AAEL010386",NA
NA,"HIST2H2AA3","ENSMUSG00000028138","FBgn0011768","ENSPANG00000006895","ENSRNOG00000001559","ENSDARG00000103819",NA,NA,NA
NA,"HIST2H2AA4","ENSMUSG00000005813","FBgn0039219","ENSPANG00000010875","ENSRNOG00000052968","ENSDARG00000098970",NA,NA,NA
NA,"HIST2H2AA3","ENSMUSG00000028156","FBgn0035709","ENSPANG00000020733","ENSRNOG00000052968","ENSDARG00000101720","AGAP010029","AAEL001533",NA
NA,"HIST2H2AA4","ENSMUSG00000028156","FBgn0035823","ENSPANG00000018837","ENSRNOG00000001547","ENSDARG00000105508","ABA29466.1","AAEL001586",NA
NA,"HIST2H2AA3","ENSMUSG00000028156","FBgn0265089","ENSPANG00000020731","ENSRNOG00000059460","ENSDARG00000105459","AGAP010396","AAEL001548",NA
NA,"HIST2H2AA4","ENSMUSG00000028156","FBgn0015218","ENSPANG00000013266","ENSRNOG00000052519","ENSDARG00000105374","AGAP004886","AAEL010386",NA
NA,"HIST2H2AA3","ENSMUSG00000028152","FBgn0031760","ENSPANG00000009101",NA,"ENSDARG00000105418","AGAP012104",NA,NA
NA,"HIST2H2AA4","ENSMUSG00000047674","FBgn0028325","ENSPANG00000009101","ENSRNOG00000010595","ENSDARG00000105345",NA,NA,NA
NA,"HIST2H2AA3","ENSMUSG00000059921","FBgn0034013",NA,"ENSRNOG00000008794","ENSDARG00000105484","AGAP005316",NA,NA
NA,"HIST2H2AA4","ENSMUSG00000052430","FBgn0003716","ENSPANG00000008063","ENSRNOG00000004544","ENSDARG00000105359","AAC28093.1","AAEL004045",NA
