"mouse_ID","drosophila_ID","orthotype_mouse_drosophila","omagroup_mouse_drosophila"
"ENSMUSG00000101523","FBgn0264492","n:1",547072
"ENSMUSG00000033557","FBgn0038268","1:1",NA
"ENSMUSG00000026594","FBgn0034158","n:1",813187
"ENSMUSG00000058267","FBgn0044030","1:1",862175
"ENSMUSG00000014226","FBgn0029882","1:1",722939
"ENSMUSG00000026721","FBgn0035879","n:1",NA
"ENSMUSG00000026715","FBgn0051902","n:m",NA
"ENSMUSG00000026715","FBgn0265137","n:m",NA
"ENSMUSG00000026715","FBgn0033112","n:m",NA
"ENSMUSG00000026715","FBgn0033113","n:m",NA
"ENSMUSG00000026715","FBgn0028988","n:m",NA
"ENSMUSG00000026715","FBgn0024294","n:m",NA
"ENSMUSG00000026715","FBgn0028983","n:m",NA
"ENSMUSG00000026705","FBgn0040230","1:1",549759
"ENSMUSG00000026701","FBgn0031479","n:1",546930
"ENSMUSG00000026698","FBgn0035435","1:1",753802
"ENSMUSG00000040265","FBgn0003392","n:1",NA
"ENSMUSG00000026694","FBgn0032873","1:1",753708
"ENSMUSG00000040181","FBgn0033079","n:1",NA
"ENSMUSG00000026585","FBgn0028421","1:1",830255
"ENSMUSG00000026580","FBgn0001083","1:1",NA
"ENSMUSG00000040918","FBgn0032449","n:m",814833
"ENSMUSG00000040918","FBgn0037846","n:m",NA
"ENSMUSG00000026575","FBgn0028997","1:1",865871
"ENSMUSG00000026576","FBgn0015776","n:m",858471
"ENSMUSG00000026576","FBgn0015777","n:m",NA
"ENSMUSG00000026576","FBgn0032946","n:m",NA
"ENSMUSG00000040848","FBgn0037009","n:1",NA
"ENSMUSG00000040843","FBgn0031094","1:1",849999
"ENSMUSG00000026568","FBgn0037715","1:1",803709
"ENSMUSG00000040713","FBgn0025456","1:1",802370
"ENSMUSG00000040629","FBgn0016034","1:1",822919
"ENSMUSG00000026563","FBgn0051866","1:m",836298
"ENSMUSG00000026563","FBgn0051865","1:m",NA
"ENSMUSG00000051081","FBgn0033079","n:1",NA
"ENSMUSG00000026558","FBgn0263398","n:1",NA
"ENSMUSG00000052428","FBgn0032746","1:1",799468
"ENSMUSG00000015843","FBgn0003964","n:1",NA
"ENSMUSG00000052534","FBgn0000611","n:1",NA
"ENSMUSG00000026674","FBgn0053531","n:1",551222
"ENSMUSG00000026670","FBgn0259749","1:1",745551
"ENSMUSG00000038473","FBgn0261555","1:1",NA
"ENSMUSG00000058076","FBgn0037873","1:1",865277
"ENSMUSG00000005674","FBgn0033074","n:m",NA
"ENSMUSG00000005674","FBgn0016041","n:m",NA
"ENSMUSG00000013593","FBgn0039909","1:1",809219
"ENSMUSG00000062729","FBgn0020018","1:1",816809
"ENSMUSG00000062963","FBgn0034061","1:1",862255
"ENSMUSG00000006412","FBgn0010741","1:1",848621
"ENSMUSG00000103711","FBgn0001228","n:m",641875
"ENSMUSG00000103711","FBgn0038080","n:m",NA
"ENSMUSG00000103711","FBgn0039145","n:m",NA
"ENSMUSG00000060244","FBgn0010774","n:1",NA
"ENSMUSG00000026556","FBgn0015838","n:1",NA
"ENSMUSG00000051251","FBgn0053557","1:1",NA
"ENSMUSG00000003458","FBgn0039234","1:1",839371
"ENSMUSG00000026553","FBgn0025725","1:1",546997
"ENSMUSG00000003464","FBgn0032407","1:1",497876
"ENSMUSG00000007097","FBgn0002921","n:1",NA
"ENSMUSG00000044708","FBgn0032706","n:1",NA
"ENSMUSG00000050229","FBgn0034649","1:1",786171
"ENSMUSG00000026547","FBgn0002789","n:m",NA
"ENSMUSG00000026547","FBgn0035499","n:m",542526
"ENSMUSG00000026526","FBgn0028336","1:1",856926
"ENSMUSG00000039783","FBgn0000337","1:1",646738
"ENSMUSG00000078185","FBgn0026378","n:1",NA
"ENSMUSG00000078184","FBgn0033378","n:1",NA
"ENSMUSG00000057335","FBgn0085427","1:1",NA
"ENSMUSG00000019699","FBgn0010379","n:1",548287
"ENSMUSG00000063659","FBgn0003870","n:1",548918
"ENSMUSG00000015961","FBgn0027493","n:1",NA
"ENSMUSG00000026502","FBgn0033551","1:1",495290
"ENSMUSG00000026500","FBgn0002354","1:1",847575
"ENSMUSG00000039630","FBgn0050122","1:1",749400
"ENSMUSG00000026495","FBgn0034481","1:m",548659
"ENSMUSG00000026495","FBgn0034592","1:m",NA
"ENSMUSG00000055067","FBgn0011566","1:1",771968
"ENSMUSG00000026492","FBgn0037778","1:1",843751
"ENSMUSG00000038936","FBgn0037298","1:m",677133
"ENSMUSG00000038936","FBgn0038038","1:m",NA
"ENSMUSG00000026490","FBgn0023081","n:1",551318
"ENSMUSG00000026489","FBgn0052649","n:1",NA
"ENSMUSG00000010609","FBgn0019947","n:1",713321
"ENSMUSG00000026496","FBgn0010247","1:1",493292
"ENSMUSG00000058729","FBgn0004372","1:1",754723
"ENSMUSG00000026499","FBgn0031061","1:1",804528
"ENSMUSG00000060743","FBgn0014857","n:m",NA
"ENSMUSG00000060743","FBgn0004828","n:m",497241
"ENSMUSG00000026520","FBgn0038516","n:m",NA
"ENSMUSG00000026520","FBgn0015781","n:m",NA
"ENSMUSG00000026519","FBgn0033259","n:1",NA
"ENSMUSG00000038776","FBgn0010053","1:m",678869
"ENSMUSG00000038776","FBgn0034405","1:m",NA
"ENSMUSG00000026516","FBgn0016983","1:1",848766
"ENSMUSG00000062169","FBgn0243513","1:1",860023
"ENSMUSG00000038733","FBgn0037094","1:1",547299
"ENSMUSG00000026514","FBgn0000339","n:1",NA
"ENSMUSG00000004880","FBgn0034657","1:1",703062
"ENSMUSG00000022995","FBgn0000578","1:1",549967
"ENSMUSG00000026511","FBgn0035827","1:1",685689
"ENSMUSG00000026510","FBgn0034606","n:1",810777
"ENSMUSG00000030768","FBgn0029088","1:1",842996
"ENSMUSG00000026621","FBgn0033451","1:1",831970
"ENSMUSG00000039318","FBgn0027505","1:1",790126
"ENSMUSG00000026618","FBgn0036569","1:1",490197
"ENSMUSG00000026617","FBgn0039698","1:1",853558
"ENSMUSG00000026615","FBgn0005674","1:1",836951
"ENSMUSG00000039246","FBgn0037842","1:1",833707
"ENSMUSG00000001305","FBgn0038275","1:1",NA
"ENSMUSG00000039224","FBgn0263231","n:1",NA
"ENSMUSG00000026610","FBgn0035849","n:1",NA
"ENSMUSG00000026608","FBgn0037758","1:1",818642
"ENSMUSG00000037624","FBgn0262685","1:1",NA
"ENSMUSG00000026604","FBgn0031799","n:1",850604
"ENSMUSG00000066595","FBgn0033196","n:1",547327
"ENSMUSG00000026626","FBgn0027492","1:1",674993
"ENSMUSG00000037461","FBgn0036038","1:1",805942
"ENSMUSG00000037434","FBgn0035432","1:1",810851
"ENSMUSG00000058248","FBgn0000535","n:1",702797
"ENSMUSG00000016181","FBgn0034933","1:1",855231
"ENSMUSG00000026640","FBgn0025741","n:1",549815
"ENSMUSG00000026643","FBgn0020392","n:1",NA
"ENSMUSG00000026644","FBgn0035742","1:m",NA
"ENSMUSG00000026644","FBgn0250836","1:m",854989
"ENSMUSG00000039449","FBgn0027784","1:1",808196
"ENSMUSG00000026662","FBgn0261270","n:1",NA
"ENSMUSG00000026669","FBgn0032929","1:1",812018
"ENSMUSG00000039145","FBgn0016126","n:1",NA
"ENSMUSG00000025816","FBgn0086357","n:1",NA
"ENSMUSG00000025815","FBgn0039827","1:1",864283
"ENSMUSG00000043241","FBgn0029992","1:1",801747
"ENSMUSG00000039063","FBgn0034191","1:1",547000
"ENSMUSG00000002107","FBgn0000114","n:m",NA
"ENSMUSG00000002107","FBgn0262475","n:m",NA
"ENSMUSG00000025781","FBgn0020235","1:1",814774
"ENSMUSG00000037262","FBgn0024887","1:1",861329
"ENSMUSG00000026773","FBgn0027621","n:1",691229
"ENSMUSG00000037197","FBgn0086683","1:1",NA
"ENSMUSG00000026767","FBgn0030973","1:1",830074
"ENSMUSG00000026730","FBgn0037683","1:1",839541
"ENSMUSG00000026727","FBgn0028546","1:1",549680
"ENSMUSG00000026726","FBgn0052702","1:1",265969
"ENSMUSG00000026723","FBgn0028707","1:1",831046
"ENSMUSG00000063275","FBgn0032394","n:1",831710
"ENSMUSG00000057914","FBgn0259822","n:1",NA
"ENSMUSG00000026707","FBgn0037200","1:1",791085
"ENSMUSG00000017418","FBgn0035866","n:1",775028
"ENSMUSG00000026748","FBgn0028331","1:1",NA
"ENSMUSG00000053702","FBgn0063485","n:1",NA
"ENSMUSG00000026740","FBgn0030990","1:1",830358
"ENSMUSG00000026737","FBgn0039924","n:1",NA
"ENSMUSG00000026679","FBgn0062517","1:1",818821
"ENSMUSG00000026787","FBgn0004516","n:1",NA
"ENSMUSG00000026784","FBgn0051005","1:1",858645
"ENSMUSG00000058835","FBgn0020510","1:1",NA
"ENSMUSG00000026779","FBgn0260399","1:1",831759
"ENSMUSG00000026771","FBgn0264493","n:1",NA
"ENSMUSG00000004113","FBgn0263111","n:1",788275
"ENSMUSG00000026972","FBgn0037519","1:m",NA
"ENSMUSG00000026972","FBgn0037853","1:m",NA
"ENSMUSG00000026975","FBgn0029892","1:1",495432
"ENSMUSG00000036833","FBgn0003656","1:1",NA
"ENSMUSG00000013465","FBgn0027553","1:1",516327
"ENSMUSG00000036752","FBgn0003889","n:1",NA
"ENSMUSG00000006471","FBgn0035890","n:1",800887
"ENSMUSG00000115074","FBgn0035890","n:1",NA
"ENSMUSG00000078201","FBgn0066303","1:1",836974
"ENSMUSG00000026965","FBgn0002791","1:1",665594
"ENSMUSG00000026961","FBgn0034602","1:1",NA
"ENSMUSG00000026959","FBgn0010399","1:1",770481
"ENSMUSG00000036646","FBgn0039634","1:1",526731
"ENSMUSG00000015093","FBgn0030529","n:1",NA
"ENSMUSG00000015095","FBgn0031773","1:1",808271
"ENSMUSG00000015092","FBgn0262732","1:1",764160
"ENSMUSG00000036504","FBgn0001280","1:1",657225
"ENSMUSG00000026939","FBgn0259991","1:1",839265
"ENSMUSG00000058740","FBgn0261698","n:1",NA
"ENSMUSG00000026933","FBgn0263197","n:1",853664
"ENSMUSG00000036352","FBgn0028372","1:1",NA
"ENSMUSG00000036327","FBgn0033814","n:m",NA
"ENSMUSG00000036327","FBgn0038919","n:m",833464
"ENSMUSG00000026930","FBgn0040080","n:1",NA
"ENSMUSG00000026926","FBgn0033235","1:1",761732
"ENSMUSG00000026923","FBgn0004647","n:1",549699
"ENSMUSG00000015776","FBgn0040339","1:1",734903
"ENSMUSG00000062647","FBgn0014026","n:1",497205
"ENSMUSG00000015790","FBgn0029117","1:1",829086
"ENSMUSG00000014867","FBgn0019925","1:1",851323
"ENSMUSG00000015488","FBgn0261722","1:1",856134
"ENSMUSG00000000889","FBgn0010329","1:1",738337
"ENSMUSG00000009614","FBgn0034276","1:1",852571
"ENSMUSG00000009621","FBgn0040068","n:1",844350
"ENSMUSG00000026917","FBgn0040066","1:1",547331
"ENSMUSG00000015846","FBgn0003964","n:1",730598
"ENSMUSG00000035772","FBgn0031639","1:1",855447
"ENSMUSG00000026821","FBgn0026376","n:1",NA
"ENSMUSG00000026816","FBgn0086445","1:1",788511
"ENSMUSG00000026812","FBgn0026317","1:1",844346
"ENSMUSG00000026799","FBgn0037359","1:1",259248
"ENSMUSG00000039826","FBgn0033060","1:1",860954
"ENSMUSG00000026798","FBgn0052174","1:1",741997
"ENSMUSG00000059316","FBgn0021953","n:m",NA
"ENSMUSG00000059316","FBgn0265187","n:m",547773
"ENSMUSG00000069020","FBgn0053276","1:1",801397
"ENSMUSG00000039787","FBgn0051915","n:1",NA
"ENSMUSG00000019715","FBgn0033316","1:1",725251
"ENSMUSG00000057738","FBgn0250789","1:1",550808
"ENSMUSG00000054766","FBgn0014879","1:1",813371
"ENSMUSG00000039686","FBgn0043458","1:1",771002
"ENSMUSG00000039678","FBgn0035916","1:1",547405
"ENSMUSG00000015337","FBgn0033690","1:1",698434
"ENSMUSG00000039660","FBgn0033473","1:1",854835
"ENSMUSG00000079484","FBgn0037819","1:1",511086
"ENSMUSG00000052533","FBgn0033766","1:1",790080
"ENSMUSG00000026860","FBgn0034433","n:1",NA
"ENSMUSG00000026858","FBgn0030037","1:1",807449
"ENSMUSG00000026853","FBgn0037440","1:m",775314
"ENSMUSG00000026853","FBgn0038486","1:m",NA
"ENSMUSG00000039515","FBgn0016698","1:1",843106
"ENSMUSG00000026857","FBgn0033457","1:1",833571
"ENSMUSG00000026848","FBgn0025615","n:1",NA
"ENSMUSG00000026849","FBgn0025615","n:1",828381
"ENSMUSG00000026851","FBgn0035254","1:1",812093
"ENSMUSG00000026854","FBgn0033916","n:1",NA
"ENSMUSG00000075415","FBgn0035533","n:1",547503
"ENSMUSG00000062661","FBgn0030897","1:m",NA
"ENSMUSG00000062661","FBgn0083228","1:m",547129
"ENSMUSG00000055632","FBgn0086906","1:1",NA
"ENSMUSG00000076441","FBgn0026565","1:1",861480
"ENSMUSG00000039356","FBgn0034879","1:1",834559
"ENSMUSG00000026840","FBgn0267348","1:1",NA
"ENSMUSG00000001855","FBgn0010660","1:1",548471
"ENSMUSG00000051373","FBgn0051717","1:1",NA
"ENSMUSG00000039254","FBgn0003292","1:1",547103
"ENSMUSG00000002550","FBgn0263398","n:1",865052
"ENSMUSG00000002546","FBgn0034697","1:1",548549
"ENSMUSG00000026825","FBgn0003392","n:1",NA
"ENSMUSG00000026820","FBgn0004465","1:1",839883
"ENSMUSG00000026819","FBgn0052103","1:1",NA
"ENSMUSG00000039157","FBgn0032938","n:1",NA
"ENSMUSG00000026817","FBgn0022709","n:1",864441
"ENSMUSG00000009566","FBgn0030407","1:1",NA
"ENSMUSG00000009555","FBgn0019949","1:1",547599
"ENSMUSG00000059013","FBgn0031762","n:1",852290
"ENSMUSG00000009563","FBgn0025615","n:1",NA
"ENSMUSG00000038987","FBgn0036962","1:1",NA
"ENSMUSG00000026797","FBgn0004574","1:1",738124
"ENSMUSG00000038900","FBgn0034968","n:1",866046
"ENSMUSG00000026791","FBgn0050035","1:m",NA
"ENSMUSG00000026791","FBgn0033644","1:m",NA
"ENSMUSG00000038831","FBgn0034158","n:1",NA
"ENSMUSG00000038718","FBgn0000611","n:1",841735
"ENSMUSG00000038696","FBgn0033935","1:1",838836
"ENSMUSG00000026867","FBgn0030286","1:1",826310
"ENSMUSG00000026864","FBgn0001218","1:1",546975
"ENSMUSG00000026869","FBgn0030457","1:1",844603
"ENSMUSG00000057110","FBgn0037117","1:m",NA
"ENSMUSG00000057110","FBgn0261004","1:m",NA
"ENSMUSG00000026878","FBgn0015791","1:1",522101
"ENSMUSG00000026879","FBgn0010225","n:1",547808
"ENSMUSG00000026880","FBgn0030992","1:m",547087
"ENSMUSG00000026880","FBgn0030993","1:m",NA
"ENSMUSG00000026895","FBgn0035046","1:1",803884
"ENSMUSG00000026889","FBgn0030571","1:1",548148
"ENSMUSG00000026887","FBgn0035980","1:1",863291
"ENSMUSG00000009030","FBgn0036519","1:1",803158
"ENSMUSG00000066798","FBgn0037620","1:1",NA
"ENSMUSG00000035437","FBgn0035879","n:1",849908
"ENSMUSG00000026750","FBgn0023174","1:1",860127
"ENSMUSG00000062997","FBgn0029785","n:1",NA
"ENSMUSG00000026755","FBgn0031437","n:1",NA
"ENSMUSG00000026754","FBgn0086757","1:1",547873
"ENSMUSG00000035236","FBgn0035677","1:1",720788
"ENSMUSG00000026753","FBgn0003139","1:1",547105
"ENSMUSG00000036890","FBgn0030700","1:1",828748
"ENSMUSG00000052155","FBgn0003169","n:1",NA
"ENSMUSG00000026761","FBgn0023181","1:1",NA
"ENSMUSG00000026764","FBgn0001308","n:1",NA
"ENSMUSG00000036093","FBgn0035866","n:1",NA
"ENSMUSG00000017412","FBgn0259822","n:1",738200
"ENSMUSG00000036053","FBgn0267795","n:1",551557
"ENSMUSG00000061136","FBgn0031492","n:1",547242
"ENSMUSG00000060988","FBgn0031681","n:1",NA
"ENSMUSG00000026827","FBgn0022160","1:1",852558
"ENSMUSG00000026839","FBgn0034800","n:m",NA
"ENSMUSG00000026839","FBgn0039464","n:m",791980
"ENSMUSG00000026914","FBgn0028694","1:1",864405
"ENSMUSG00000026904","FBgn0259111","n:1",NA
"ENSMUSG00000035000","FBgn0259175","n:1",NA
"ENSMUSG00000000392","FBgn0259175","n:1",763676
"ENSMUSG00000061171","FBgn0033368","1:1",547219
"ENSMUSG00000057182","FBgn0264255","n:1",NA
"ENSMUSG00000064329","FBgn0264255","n:1",NA
"ENSMUSG00000075316","FBgn0264255","n:1",NA
"ENSMUSG00000034780","FBgn0050036","1:1",NA
"ENSMUSG00000027030","FBgn0023083","n:1",548117
"ENSMUSG00000027035","FBgn0040918","n:1",NA
"ENSMUSG00000005232","FBgn0031463","n:1",NA
"ENSMUSG00000063145","FBgn0037280","1:1",802381
"ENSMUSG00000027088","FBgn0031048","n:1",671192
"ENSMUSG00000051730","FBgn0036856","1:1",842427
"ENSMUSG00000044308","FBgn0260970","1:1",774427
"ENSMUSG00000075304","FBgn0001325","1:1",NA
"ENSMUSG00000070880","FBgn0004516","n:1",824800
"ENSMUSG00000027012","FBgn0067861","n:m",NA
"ENSMUSG00000027012","FBgn0053497","n:m",NA
"ENSMUSG00000027012","FBgn0052823","n:m",NA
"ENSMUSG00000027012","FBgn0003654","n:m",685499
"ENSMUSG00000027010","FBgn0028646","n:1",864012
"ENSMUSG00000027018","FBgn0037376","1:1",811563
"ENSMUSG00000041921","FBgn0032247","1:1",863502
"ENSMUSG00000027111","FBgn0004456","n:1",NA
"ENSMUSG00000006494","FBgn0017558","n:1",797165
"ENSMUSG00000049044","FBgn0085421","1:1",844704
"ENSMUSG00000027108","FBgn0030151","1:1",862542
"ENSMUSG00000041777","FBgn0036827","1:1",NA
"ENSMUSG00000041762","FBgn0036741","1:1",807737
"ENSMUSG00000009207","FBgn0033309","1:1",665462
"ENSMUSG00000027099","FBgn0036920","1:1",839872
"ENSMUSG00000059005","FBgn0004237","n:m",NA
"ENSMUSG00000059005","FBgn0001215","n:m",NA
"ENSMUSG00000042410","FBgn0033983","1:1",844145
"ENSMUSG00000075273","FBgn0032470","n:1",NA
"ENSMUSG00000075272","FBgn0032470","n:1",NA
"ENSMUSG00000075271","FBgn0032470","n:1",NA
"ENSMUSG00000042369","FBgn0035526","1:1",549467
"ENSMUSG00000027011","FBgn0015320","n:1",547737
"ENSMUSG00000027009","FBgn0003328","1:m",NA
"ENSMUSG00000027009","FBgn0034880","1:m",NA
"ENSMUSG00000050114","FBgn0031479","n:1",NA
"ENSMUSG00000027002","FBgn0011771","1:1",685705
"ENSMUSG00000027001","FBgn0083992","1:1",709083
"ENSMUSG00000026999","FBgn0030943","n:1",853964
"ENSMUSG00000027091","FBgn0033317","1:1",850694
"ENSMUSG00000059588","FBgn0052843","n:m",657286
"ENSMUSG00000059588","FBgn0030437","n:m",NA
"ENSMUSG00000034101","FBgn0260799","1:1",NA
"ENSMUSG00000050043","FBgn0034455","1:1",675645
"ENSMUSG00000027079","FBgn0033842","1:1",852861
"ENSMUSG00000027076","FBgn0027360","1:1",711946
"ENSMUSG00000027067","FBgn0010278","1:1",495134
"ENSMUSG00000051329","FBgn0262647","1:1",817138
"ENSMUSG00000040812","FBgn0265726","1:1",NA
"ENSMUSG00000027282","FBgn0027786","n:1",NA
"ENSMUSG00000005510","FBgn0266582","1:1",547170
"ENSMUSG00000005506","FBgn0000114","n:m",NA
"ENSMUSG00000005506","FBgn0262475","n:m",NA
"ENSMUSG00000002104","FBgn0039911","1:1",548902
"ENSMUSG00000002102","FBgn0028684","1:1",848758
"ENSMUSG00000002105","FBgn0039714","1:1",789339
"ENSMUSG00000040687","FBgn0030613","1:1",838844
"ENSMUSG00000002103","FBgn0000032","n:1",NA
"ENSMUSG00000027255","FBgn0037182","n:1",547311
"ENSMUSG00000027253","FBgn0030706","1:1",550656
"ENSMUSG00000040549","FBgn0027948","1:1",861237
"ENSMUSG00000027247","FBgn0036257","n:1",734461
"ENSMUSG00000027243","FBgn0262534","1:1",NA
"ENSMUSG00000040479","FBgn0261549","n:1",NA
"ENSMUSG00000027222","FBgn0037019","1:1",842719
"ENSMUSG00000049922","FBgn0265351","1:1",778636
"ENSMUSG00000027198","FBgn0029175","1:1",531255
"ENSMUSG00000027195","FBgn0029975","1:1",508560
"ENSMUSG00000027193","FBgn0027885","1:1",814657
"ENSMUSG00000027164","FBgn0265464","1:1",716065
"ENSMUSG00000010911","FBgn0030518","1:1",807808
"ENSMUSG00000027187","FBgn0000261","1:1",710656
"ENSMUSG00000032724","FBgn0264711","n:1",NA
"ENSMUSG00000032698","FBgn0051624","1:m",NA
"ENSMUSG00000032698","FBgn0051988","1:m",NA
"ENSMUSG00000027176","FBgn0003559","1:1",531025
"ENSMUSG00000027175","FBgn0029820","n:1",757618
"ENSMUSG00000074997","FBgn0015379","n:1",NA
"ENSMUSG00000027170","FBgn0033902","1:1",845671
"ENSMUSG00000005973","FBgn0025682","n:1",NA
"ENSMUSG00000027167","FBgn0031711","1:1",848734
"ENSMUSG00000042670","FBgn0030669","1:1",837219
"ENSMUSG00000027166","FBgn0037350","1:1",NA
"ENSMUSG00000016386","FBgn0036028","n:1",NA
"ENSMUSG00000057234","FBgn0037822","1:1",843044
"ENSMUSG00000027162","FBgn0039269","n:1",830614
"ENSMUSG00000041660","FBgn0033830","1:m",492681
"ENSMUSG00000041660","FBgn0014903","1:m",NA
"ENSMUSG00000041660","FBgn0030575","1:m",NA
"ENSMUSG00000027133","FBgn0033548","1:1",864200
"ENSMUSG00000027130","FBgn0261794","n:1",756789
"ENSMUSG00000096764","FBgn0261794","n:1",NA
"ENSMUSG00000027131","FBgn0037199","1:1",853786
"ENSMUSG00000055943","FBgn0034066","1:1",497746
"ENSMUSG00000057378","FBgn0011286","n:1",261712
"ENSMUSG00000040383","FBgn0051368","1:1",515677
"ENSMUSG00000027210","FBgn0001235","1:1",NA
"ENSMUSG00000027351","FBgn0020767","n:1",NA
"ENSMUSG00000027349","FBgn0039385","n:1",779508
"ENSMUSG00000005102","FBgn0019990","1:1",865203
"ENSMUSG00000009549","FBgn0038808","1:1",796417
"ENSMUSG00000027332","FBgn0035911","1:1",832457
"ENSMUSG00000027324","FBgn0032256","1:1",854565
"ENSMUSG00000027323","FBgn0003479","1:1",858891
"ENSMUSG00000034278","FBgn0037882","1:1",496795
"ENSMUSG00000068580","FBgn0030694","1:1",843940
"ENSMUSG00000034216","FBgn0000482","1:1",854071
"ENSMUSG00000034154","FBgn0086613","1:1",547740
"ENSMUSG00000014077","FBgn0037358","1:1",547461
"ENSMUSG00000027304","FBgn0034722","1:1",547249
"ENSMUSG00000034032","FBgn0052104","1:1",762109
"ENSMUSG00000098789","FBgn0036366","1:1",764005
"ENSMUSG00000027293","FBgn0016693","n:1",NA
"ENSMUSG00000027291","FBgn0038593","1:1",742370
"ENSMUSG00000027287","FBgn0011288","n:m",NA
"ENSMUSG00000027287","FBgn0266720","n:m",719058
"ENSMUSG00000027286","FBgn0029925","1:1",547489
"ENSMUSG00000027284","FBgn0024510","1:1",843323
"ENSMUSG00000027272","FBgn0030809","n:1",NA
"ENSMUSG00000027259","FBgn0037661","1:1",813316
"ENSMUSG00000027263","FBgn0026431","1:1",834251
"ENSMUSG00000033526","FBgn0027279","n:1",NA
"ENSMUSG00000074884","FBgn0038421","n:1",542636
"ENSMUSG00000027245","FBgn0038196","1:1",NA
"ENSMUSG00000048222","FBgn0035294","n:1",547313
"ENSMUSG00000068479","FBgn0035294","n:1",NA
"ENSMUSG00000027238","FBgn0032225","1:1",NA
"ENSMUSG00000027236","FBgn0027619","n:1",685483
"ENSMUSG00000033396","FBgn0034786","1:1",NA
"ENSMUSG00000027227","FBgn0024289","1:m",NA
"ENSMUSG00000027227","FBgn0022359","1:m",786334
"ENSMUSG00000068452","FBgn0031464","n:1",NA
"ENSMUSG00000033268","FBgn0031464","n:1",548147
"ENSMUSG00000005802","FBgn0025693","1:1",NA
"ENSMUSG00000005803","FBgn0035515","1:1",510543
"ENSMUSG00000027201","FBgn0267790","1:1",547629
"ENSMUSG00000027202","FBgn0036279","n:1",NA
"ENSMUSG00000027203","FBgn0250837","1:1",856222
"ENSMUSG00000027206","FBgn0013746","1:1",830929
"ENSMUSG00000027207","FBgn0263199","1:1",797049
"ENSMUSG00000023330","FBgn0039664","1:1",719156
"ENSMUSG00000060131","FBgn0037989","n:1",NA
"ENSMUSG00000027360","FBgn0005619","1:1",824805
"ENSMUSG00000034906","FBgn0014127","1:1",823987
"ENSMUSG00000003660","FBgn0263599","1:1",823913
"ENSMUSG00000003662","FBgn0033972","1:1",547276
"ENSMUSG00000058620","FBgn0038653","1:1",657364
"ENSMUSG00000046338","FBgn0027579","n:1",NA
"ENSMUSG00000027371","FBgn0038924","1:1",833606
"ENSMUSG00000027376","FBgn0026189","n:1",NA
"ENSMUSG00000027374","FBgn0044510","1:1",842117
"ENSMUSG00000027379","FBgn0031696","1:1",851683
"ENSMUSG00000014355","FBgn0004391","1:1",641025
"ENSMUSG00000014353","FBgn0031356","1:1",665267
"ENSMUSG00000027395","FBgn0003278","1:1",864215
"ENSMUSG00000027397","FBgn0260795","n:1",746996
"ENSMUSG00000027404","FBgn0262601","n:1",547180
"ENSMUSG00000027405","FBgn0038964","1:1",801509
"ENSMUSG00000027406","FBgn0038922","1:1",847131
"ENSMUSG00000027411","FBgn0261241","1:1",809397
"ENSMUSG00000037740","FBgn0036774","1:1",857522
"ENSMUSG00000027300","FBgn0039767","1:1",848492
"ENSMUSG00000074797","FBgn0031663","1:1",858365
"ENSMUSG00000027312","FBgn0039528","n:1",830205
"ENSMUSG00000027327","FBgn0035896","1:1",795271
"ENSMUSG00000027329","FBgn0030722","1:1",NA
"ENSMUSG00000037523","FBgn0034294","1:1",NA
"ENSMUSG00000037514","FBgn0011205","n:1",835113
"ENSMUSG00000027340","FBgn0037807","n:1",NA
"ENSMUSG00000027342","FBgn0005655","n:1",853167
"ENSMUSG00000058793","FBgn0010350","n:1",NA
"ENSMUSG00000037376","FBgn0031832","1:1",858585
"ENSMUSG00000027356","FBgn0035498","n:m",NA
"ENSMUSG00000027356","FBgn0036688","n:m",843338
"ENSMUSG00000027261","FBgn0061356","1:1",817677
"ENSMUSG00000051177","FBgn0004611","n:1",NA
"ENSMUSG00000039943","FBgn0262738","1:1",855685
"ENSMUSG00000027273","FBgn0011288","n:m",719060
"ENSMUSG00000027273","FBgn0266720","n:m",NA
"ENSMUSG00000027276","FBgn0004197","1:1",548683
"ENSMUSG00000062098","FBgn0262871","n:1",854287
"ENSMUSG00000039092","FBgn0002524","n:1",NA
"ENSMUSG00000045624","FBgn0024364","1:1",813753
"ENSMUSG00000027384","FBgn0033891","1:1",537141
"ENSMUSG00000027419","FBgn0023179","1:1",547788
"ENSMUSG00000015932","FBgn0011726","n:1",807567
"ENSMUSG00000027423","FBgn0032005","n:1",NA
"ENSMUSG00000027425","FBgn0032691","1:1",822603
"ENSMUSG00000027427","FBgn0038951","1:1",828759
"ENSMUSG00000027429","FBgn0262125","n:1",NA
"ENSMUSG00000027430","FBgn0037898","1:1",NA
"ENSMUSG00000027431","FBgn0030519","1:1",NA
"ENSMUSG00000063873","FBgn0040031","n:1",NA
"ENSMUSG00000002728","FBgn0031043","1:1",856267
"ENSMUSG00000001767","FBgn0000377","1:1",546958
"ENSMUSG00000037143","FBgn0050275","1:m",689120
"ENSMUSG00000037143","FBgn0050268","1:m",NA
"ENSMUSG00000037110","FBgn0039466","n:1",NA
"ENSMUSG00000027433","FBgn0031868","1:1",734754
"ENSMUSG00000036992","FBgn0028411","n:1",NA
"ENSMUSG00000027438","FBgn0250791","n:1",NA
"ENSMUSG00000079008","FBgn0022720","n:1",NA
"ENSMUSG00000033096","FBgn0041780","1:1",NA
"ENSMUSG00000033068","FBgn0024947","n:1",NA
